"","HLTH_SERVICE_DLVR_AREA_NAME","year","month","date","pm25"
"93","East Kootenay",2019,9,2019-09-01,5.78179027351732
"94","East Kootenay",2019,10,2019-10-01,7.61964871665182
"95","East Kootenay",2019,11,2019-11-01,9.86103796404467
"96","East Kootenay",2019,12,2019-12-01,9.5827656723019
"97","East Kootenay",2020,1,2020-01-01,9.09091797565603
"98","East Kootenay",2020,2,2020-02-01,8.90746463928006
"99","East Kootenay",2020,3,2020-03-01,7.59785139041233
"100","East Kootenay",2020,4,2020-04-01,6.8243874904906
"101","East Kootenay",2020,5,2020-05-01,5.76885803086532
"102","East Kootenay",2020,6,2020-06-01,5.78068962836373
"103","East Kootenay",2020,7,2020-07-01,6.28876783185724
"104","East Kootenay",2020,8,2020-08-01,8.6384243111939
"105","East Kootenay",2020,9,2020-09-01,17.577803945915
"106","East Kootenay",2020,10,2020-10-01,7.83117255774917
"107","East Kootenay",2020,11,2020-11-01,8.49889574691203
"108","East Kootenay",2020,12,2020-12-01,9.71068215544039
"109","East Kootenay",2021,1,2021-01-01,9.11994266798723
"110","East Kootenay",2021,2,2021-02-01,8.73514525615475
"111","East Kootenay",2021,3,2021-03-01,7.77801371961441
"112","East Kootenay",2021,4,2021-04-01,6.43129187880528
"113","East Kootenay",2021,5,2021-05-01,6.1322302324677
"114","East Kootenay",2021,6,2021-06-01,6.08146869803023
"115","East Kootenay",2021,7,2021-07-01,7.95580253360585
"116","East Kootenay",2021,8,2021-08-01,15.7232875183912
"117","East Kootenay",2021,9,2021-09-01,11.0970918037902
"118","East Kootenay",2021,10,2021-10-01,7.83388951083912
"119","East Kootenay",2021,11,2021-11-01,9.24425967233054
"120","East Kootenay",2021,12,2021-12-01,9.21779118853538
"121","East Kootenay",2022,1,2022-01-01,9.11994266798723
"122","East Kootenay",2022,2,2022-02-01,8.73514525615475
"123","East Kootenay",2022,3,2022-03-01,7.77801371961441
"124","East Kootenay",2022,4,2022-04-01,6.43129187880528
"125","East Kootenay",2022,5,2022-05-01,6.1322302324677
"126","East Kootenay",2022,6,2022-06-01,6.08146869803023
"127","East Kootenay",2022,7,2022-07-01,7.95580253360585
"128","East Kootenay",2022,8,2022-08-01,15.7232875183912
"129","East Kootenay",2022,9,2022-09-01,11.0970918037902
"130","East Kootenay",2022,10,2022-10-01,7.83388951083912
"131","East Kootenay",2022,11,2022-11-01,9.24425967233054
"132","East Kootenay",2022,12,2022-12-01,9.21779118853538
"133","Kootenay Boundary",2012,1,2012-01-01,8.45264622676161
"134","Kootenay Boundary",2012,2,2012-02-01,8.88378144997454
"135","Kootenay Boundary",2012,3,2012-03-01,7.08775922116956
"136","Kootenay Boundary",2012,4,2012-04-01,6.28868713063148
"137","Kootenay Boundary",2012,5,2012-05-01,5.50731731759809
"138","Kootenay Boundary",2012,6,2012-06-01,5.51824362040013
"139","Kootenay Boundary",2012,7,2012-07-01,6.86762492075083
"140","Kootenay Boundary",2012,8,2012-08-01,6.38195774716447
"141","Kootenay Boundary",2012,9,2012-09-01,7.17985473903236
"142","Kootenay Boundary",2012,10,2012-10-01,5.83669590891467
"143","Kootenay Boundary",2012,11,2012-11-01,5.75465317729699
"144","Kootenay Boundary",2012,12,2012-12-01,5.59941908891082
"145","Kootenay Boundary",2013,1,2013-01-01,9.36084317095593
"146","Kootenay Boundary",2013,2,2013-02-01,8.85351397754708
"147","Kootenay Boundary",2013,3,2013-03-01,7.55823399507853
"148","Kootenay Boundary",2013,4,2013-04-01,6.02614180819036
"149","Kootenay Boundary",2013,5,2013-05-01,5.62572079862462
"150","Kootenay Boundary",2013,6,2013-06-01,5.31315357513493
"151","Kootenay Boundary",2013,7,2013-07-01,5.03427993402709
"152","Kootenay Boundary",2013,8,2013-08-01,6.54264618448531
"153","Kootenay Boundary",2013,9,2013-09-01,6.02595795708152
"154","Kootenay Boundary",2013,10,2013-10-01,7.62709294238965
"155","Kootenay Boundary",2013,11,2013-11-01,8.15630303171687
"156","Kootenay Boundary",2013,12,2013-12-01,7.44482864515982
"157","Kootenay Boundary",2014,1,2014-01-01,9.34423574986223
"158","Kootenay Boundary",2014,2,2014-02-01,8.63452349617818
"159","Kootenay Boundary",2014,3,2014-03-01,7.41755168464272
"160","Kootenay Boundary",2014,4,2014-04-01,5.94972960824369
"161","Kootenay Boundary",2014,5,2014-05-01,5.68613449527885
"162","Kootenay Boundary",2014,6,2014-06-01,4.69496664396616
"163","Kootenay Boundary",2014,7,2014-07-01,7.59384856652111
"164","Kootenay Boundary",2014,8,2014-08-01,9.48343429260184
"165","Kootenay Boundary",2014,9,2014-09-01,5.29766118672543
"166","Kootenay Boundary",2014,10,2014-10-01,6.3020238832881
"167","Kootenay Boundary",2014,11,2014-11-01,9.53880910541475
"168","Kootenay Boundary",2014,12,2014-12-01,8.37582417323493
"169","Kootenay Boundary",2015,1,2015-01-01,9.6635696813506
"170","Kootenay Boundary",2015,2,2015-02-01,8.7510712655625
"171","Kootenay Boundary",2015,3,2015-03-01,7.541318319594
"172","Kootenay Boundary",2015,4,2015-04-01,5.58925805075542
"173","Kootenay Boundary",2015,5,2015-05-01,5.99341420157125
"174","Kootenay Boundary",2015,6,2015-06-01,6.02865143101111
"175","Kootenay Boundary",2015,7,2015-07-01,10.2566621717252
"176","Kootenay Boundary",2015,8,2015-08-01,33.1694289368221
"177","Kootenay Boundary",2015,9,2015-09-01,6.71008998113872
"178","Kootenay Boundary",2015,10,2015-10-01,7.94725823241761
"179","Kootenay Boundary",2015,11,2015-11-01,10.1526853644212
"180","Kootenay Boundary",2015,12,2015-12-01,9.55090736402043
"181","Kootenay Boundary",2016,1,2016-01-01,9.31957741597934
"182","Kootenay Boundary",2016,2,2016-02-01,9.11596390847883
"183","Kootenay Boundary",2016,3,2016-03-01,7.44881368454472
"184","Kootenay Boundary",2016,4,2016-04-01,6.66854263651581
"185","Kootenay Boundary",2016,5,2016-05-01,5.57453087359412
"186","Kootenay Boundary",2016,6,2016-06-01,5.26216411870806
"187","Kootenay Boundary",2016,7,2016-07-01,4.89003704834015
"188","Kootenay Boundary",2016,8,2016-08-01,6.01175061060801
"189","Kootenay Boundary",2016,9,2016-09-01,5.34977642641042
"190","Kootenay Boundary",2016,10,2016-10-01,7.6427684496198
"191","Kootenay Boundary",2016,11,2016-11-01,9.2177599284129
"192","Kootenay Boundary",2016,12,2016-12-01,9.06716362521669
"193","Kootenay Boundary",2017,1,2017-01-01,9.34036589723968
"194","Kootenay Boundary",2017,2,2017-02-01,8.76756233519885
"195","Kootenay Boundary",2017,3,2017-03-01,7.69330938341248
"196","Kootenay Boundary",2017,4,2017-04-01,6.28549081474864
"197","Kootenay Boundary",2017,5,2017-05-01,6.17582912802346
"198","Kootenay Boundary",2017,6,2017-06-01,5.36825205252859
"199","Kootenay Boundary",2017,7,2017-07-01,9.33516470663571
"200","Kootenay Boundary",2017,8,2017-08-01,26.7950193741948
"201","Kootenay Boundary",2017,9,2017-09-01,20.7155444106705
"202","Kootenay Boundary",2017,10,2017-10-01,9.56665038281838
"203","Kootenay Boundary",2017,11,2017-11-01,10.372201685887
"204","Kootenay Boundary",2017,12,2017-12-01,10.6853045495044
"205","Kootenay Boundary",2018,1,2018-01-01,8.59726452684015
"206","Kootenay Boundary",2018,2,2018-02-01,8.69365547957323
"207","Kootenay Boundary",2018,3,2018-03-01,7.90309861561041
"208","Kootenay Boundary",2018,4,2018-04-01,7.73146650307892
"209","Kootenay Boundary",2018,5,2018-05-01,7.24015228288149
"210","Kootenay Boundary",2018,6,2018-06-01,5.98887218334513
"211","Kootenay Boundary",2018,7,2018-07-01,8.75433003788074
"212","Kootenay Boundary",2018,8,2018-08-01,78.0201991969808
"213","Kootenay Boundary",2018,9,2018-09-01,22.8316448001218
"214","Kootenay Boundary",2018,10,2018-10-01,10.8610021851083
"215","Kootenay Boundary",2018,11,2018-11-01,10.2712096678718
"216","Kootenay Boundary",2018,12,2018-12-01,9.32046289395596
"217","Kootenay Boundary",2019,1,2019-01-01,9.11661508822115
"218","Kootenay Boundary",2019,2,2019-02-01,8.90333519879785
"219","Kootenay Boundary",2019,3,2019-03-01,8.29335726417061
"220","Kootenay Boundary",2019,4,2019-04-01,6.0290932662564
"221","Kootenay Boundary",2019,5,2019-05-01,6.80367983351231
"222","Kootenay Boundary",2019,6,2019-06-01,5.58135212358263
"223","Kootenay Boundary",2019,7,2019-07-01,7.51252518307072
"224","Kootenay Boundary",2019,8,2019-08-01,6.10723639456941
"225","Kootenay Boundary",2019,9,2019-09-01,5.4607406936136
"226","Kootenay Boundary",2019,10,2019-10-01,8.13231687715237
"227","Kootenay Boundary",2019,11,2019-11-01,11.1347399081473
"228","Kootenay Boundary",2019,12,2019-12-01,9.65929025292063
"229","Kootenay Boundary",2020,1,2020-01-01,8.82785013390895
"230","Kootenay Boundary",2020,2,2020-02-01,8.7832333716159
"231","Kootenay Boundary",2020,3,2020-03-01,7.69821209758351
"232","Kootenay Boundary",2020,4,2020-04-01,6.8916443830301
"233","Kootenay Boundary",2020,5,2020-05-01,5.65798780924276
"234","Kootenay Boundary",2020,6,2020-06-01,5.70762638838198
"235","Kootenay Boundary",2020,7,2020-07-01,6.27696197429021
"236","Kootenay Boundary",2020,8,2020-08-01,7.80006204961827
"237","Kootenay Boundary",2020,9,2020-09-01,15.8352139512798
"238","Kootenay Boundary",2020,10,2020-10-01,8.21326632807354
"239","Kootenay Boundary",2020,11,2020-11-01,9.01791271148383
"240","Kootenay Boundary",2020,12,2020-12-01,10.1442700988489
"241","Kootenay Boundary",2021,1,2021-01-01,9.1330525643603
"242","Kootenay Boundary",2021,2,2021-02-01,8.73987211730293
"243","Kootenay Boundary",2021,3,2021-03-01,7.69754442333806
"244","Kootenay Boundary",2021,4,2021-04-01,6.40454692352378
"245","Kootenay Boundary",2021,5,2021-05-01,5.99972158496745
"246","Kootenay Boundary",2021,6,2021-06-01,5.5397478384516
"247","Kootenay Boundary",2021,7,2021-07-01,7.5533149929101
"248","Kootenay Boundary",2021,8,2021-08-01,19.7931107064808
"249","Kootenay Boundary",2021,9,2021-09-01,10.6597056176598
"250","Kootenay Boundary",2021,10,2021-10-01,8.02646781680172
"251","Kootenay Boundary",2021,11,2021-11-01,9.29147854006471
"252","Kootenay Boundary",2021,12,2021-12-01,8.82566436631528
"253","Kootenay Boundary",2022,1,2022-01-01,9.1330525643603
"254","Kootenay Boundary",2022,2,2022-02-01,8.73987211730293
"255","Kootenay Boundary",2022,3,2022-03-01,7.69754442333806
"256","Kootenay Boundary",2022,4,2022-04-01,6.40454692352378
"257","Kootenay Boundary",2022,5,2022-05-01,5.99972158496745
"258","Kootenay Boundary",2022,6,2022-06-01,5.5397478384516
"259","Kootenay Boundary",2022,7,2022-07-01,7.5533149929101
"260","Kootenay Boundary",2022,8,2022-08-01,19.7931107064808
"261","Kootenay Boundary",2022,9,2022-09-01,10.6597056176598
"262","Kootenay Boundary",2022,10,2022-10-01,8.02646781680172
"263","Kootenay Boundary",2022,11,2022-11-01,9.29147854006471
"264","Kootenay Boundary",2022,12,2022-12-01,8.82566436631528
"265","Okanagan",2012,1,2012-01-01,7.7438141543437
"266","Okanagan",2012,2,2012-02-01,8.40846750238348
"267","Okanagan",2012,3,2012-03-01,6.27875079618118
"268","Okanagan",2012,4,2012-04-01,5.94437134769242
"269","Okanagan",2012,5,2012-05-01,5.64926910540078
