"","HLTH_SERVICE_DLVR_AREA_NAME","month","year","date","background_pm25","wildfire_pm25","average_mo_raqdpsfw","average_mo_raqdps","factor","wildfire_pm25_scaled","total_pm25"
"7902","Northern Interior",6,2026,2026-06-01,0.521818181818182,0.17425636192626,0.658180963130173,0.483924601203913,1.01948051948052,0.177650966379369,0.699469148197551
"7903","Northern Interior",6,2026,2026-06-01,0.521818181818182,1.03423626779953e-05,0.402018284424379,0.402007942061701,1.01948051948052,1.05438372756185e-05,0.521828725655457
"7904","Northern Interior",6,2026,2026-06-01,0.521818181818182,0.0240439825543309,0.580879554412871,0.55683557185854,1.01948051948052,0.0245123718248698,0.546330553643052
"7905","Northern Interior",6,2026,2026-06-01,0.521818181818182,0.130483220466516,0.511950094055681,0.381466873589165,1.01948051948052,0.133025101384695,0.654843283202877
"7906","Northern Interior",6,2026,2026-06-01,0.521818181818182,3.82586342279074,4.41041196388262,0.584548541091882,1.01948051948052,3.90039322972822,4.4222114115464
"7907","Northern Interior",6,2027,2027-06-01,0.522181818181818,0.560310588519829,1.11030506933247,0.549994480812641,1.02597402597403,0.574864110299565,1.09704592848138
"7908","Northern Interior",6,2027,2027-06-01,0.522181818181818,0.17425636192626,0.658180963130173,0.483924601203913,1.02597402597403,0.178782501197072,0.70096431937889
"7909","Northern Interior",6,2027,2027-06-01,0.522181818181818,1.03423626779953e-05,0.402018284424379,0.402007942061701,1.02597402597403,1.06109954748263e-05,0.522192429177293
"7910","Northern Interior",6,2027,2027-06-01,0.522181818181818,0.0240439825543309,0.580879554412871,0.55683557185854,1.02597402597403,0.0246685015817162,0.546850319763534
"7911","Northern Interior",6,2027,2027-06-01,0.522181818181818,0.130483220466516,0.511950094055681,0.381466873589165,1.02597402597403,0.133872395024088,0.656054213205906
"7912","Northern Interior",6,2027,2027-06-01,0.522181818181818,3.82586342279074,4.41041196388262,0.584548541091882,1.02597402597403,3.92523649870738,4.4474183168892
"7913","Northern Interior",6,2028,2028-06-01,0.522545454545455,0.560310588519829,1.11030506933247,0.549994480812641,1.03246753246753,0.578502490744499,1.10104794528995
"7914","Northern Interior",6,2028,2028-06-01,0.522545454545455,0.17425636192626,0.658180963130173,0.483924601203913,1.03246753246753,0.179914036014775,0.70245949056023
"7915","Northern Interior",6,2028,2028-06-01,0.522545454545455,1.03423626779953e-05,0.402018284424379,0.402007942061701,1.03246753246753,1.06781536740341e-05,0.522556132699129
