"","HLTH_SERVICE_DLVR_AREA_NAME","month","year","date","background_pm25","wildfire_pm25","average_mo_raqdpsfw","average_mo_raqdps","factor","wildfire_pm25_scaled","total_pm25"
"1","Central Vancouver Island",1,2023,2023-01-01,1.0369387755102,0.0419538774845198,1.05083712121212,1.0088832437276,1,0.0419538774845198,1.07889265299472
"2","Central Vancouver Island",1,2023,2023-01-01,1.0369387755102,0,1.63887838541667,1.6632828042328,1,0,1.0369387755102
"3","Central Vancouver Island",1,2023,2023-01-01,1.0369387755102,0,0.985401599326599,1.07419532407407,1,0,1.0369387755102
"4","Central Vancouver Island",1,2024,2024-01-01,1.03081632653061,0.0419538774845198,1.05083712121212,1.0088832437276,1,0.0419538774845198,1.07277020401513
"5","Central Vancouver Island",1,2024,2024-01-01,1.03081632653061,0,1.63887838541667,1.6632828042328,1,0,1.03081632653061
"6","Central Vancouver Island",1,2024,2024-01-01,1.03081632653061,0,0.985401599326599,1.07419532407407,1,0,1.03081632653061
"7","Central Vancouver Island",1,2025,2025-01-01,1.02469387755102,0.0419538774845198,1.05083712121212,1.0088832437276,1,0.0419538774845198,1.06664775503554
"8","Central Vancouver Island",1,2025,2025-01-01,1.02469387755102,0,1.63887838541667,1.6632828042328,1,0,1.02469387755102
"9","Central Vancouver Island",1,2025,2025-01-01,1.02469387755102,0,0.985401599326599,1.07419532407407,1,0,1.02469387755102
"10","Central Vancouver Island",1,2026,2026-01-01,1.01857142857143,0.0419538774845198,1.05083712121212,1.0088832437276,1,0.0419538774845198,1.06052530605595
"11","Central Vancouver Island",1,2026,2026-01-01,1.01857142857143,0,1.63887838541667,1.6632828042328,1,0,1.01857142857143
"12","Central Vancouver Island",1,2026,2026-01-01,1.01857142857143,0,0.985401599326599,1.07419532407407,1,0,1.01857142857143
"13","Central Vancouver Island",1,2027,2027-01-01,1.012,0.0419538774845198,1.05083712121212,1.0088832437276,1,0.0419538774845198,1.05395387748452
"14","Central Vancouver Island",1,2027,2027-01-01,1.012,0,1.63887838541667,1.6632828042328,1,0,1.012
