"","HLTH_SERVICE_DLVR_AREA_CODE","year","month","monthly_smoke","date"
"111","11",2021,3,7.77801371961441,2021-03-01
"112","11",2021,4,6.43129187880528,2021-04-01
"113","11",2021,5,6.1322302324677,2021-05-01
"114","11",2021,6,6.08146869803023,2021-06-01
"115","11",2021,7,7.95580253360585,2021-07-01
"116","11",2021,8,15.7232875183912,2021-08-01
"117","11",2021,9,11.0970918037902,2021-09-01
"118","11",2021,10,7.83388951083912,2021-10-01
"119","11",2021,11,9.24425967233054,2021-11-01
"120","11",2021,12,9.21779118853538,2021-12-01
"121","11",2022,1,9.11994266798723,2022-01-01
"122","11",2022,2,8.73514525615475,2022-02-01
"123","11",2022,3,7.77801371961441,2022-03-01
"124","11",2022,4,6.43129187880528,2022-04-01
"125","11",2022,5,6.1322302324677,2022-05-01
"126","11",2022,6,6.08146869803023,2022-06-01
"127","11",2022,7,7.95580253360585,2022-07-01
"128","11",2022,8,15.7232875183912,2022-08-01
"129","11",2022,9,11.0970918037902,2022-09-01
"130","11",2022,10,7.83388951083912,2022-10-01
"131","11",2022,11,9.24425967233054,2022-11-01
"132","11",2022,12,9.21779118853538,2022-12-01
"133","12",2012,1,8.45264622676161,2012-01-01
"134","12",2012,2,8.88378144997454,2012-02-01
"135","12",2012,3,7.08775922116956,2012-03-01
"136","12",2012,4,6.28868713063148,2012-04-01
"137","12",2012,5,5.50731731759809,2012-05-01
"138","12",2012,6,5.51824362040013,2012-06-01
"139","12",2012,7,6.86762492075083,2012-07-01
"140","12",2012,8,6.38195774716447,2012-08-01
"141","12",2012,9,7.17985473903236,2012-09-01
"142","12",2012,10,5.83669590891467,2012-10-01
"143","12",2012,11,5.75465317729699,2012-11-01
"144","12",2012,12,5.59941908891082,2012-12-01
"145","12",2013,1,9.36084317095593,2013-01-01
"146","12",2013,2,8.85351397754708,2013-02-01
"147","12",2013,3,7.55823399507853,2013-03-01
"148","12",2013,4,6.02614180819036,2013-04-01
"149","12",2013,5,5.62572079862462,2013-05-01
"150","12",2013,6,5.31315357513493,2013-06-01
"151","12",2013,7,5.03427993402709,2013-07-01
"152","12",2013,8,6.54264618448531,2013-08-01
"153","12",2013,9,6.02595795708152,2013-09-01
"154","12",2013,10,7.62709294238965,2013-10-01
"155","12",2013,11,8.15630303171687,2013-11-01
"156","12",2013,12,7.44482864515982,2013-12-01
"157","12",2014,1,9.34423574986223,2014-01-01
"158","12",2014,2,8.63452349617818,2014-02-01
"159","12",2014,3,7.41755168464272,2014-03-01
"160","12",2014,4,5.94972960824369,2014-04-01
"161","12",2014,5,5.68613449527885,2014-05-01
"162","12",2014,6,4.69496664396616,2014-06-01
"163","12",2014,7,7.59384856652111,2014-07-01
"164","12",2014,8,9.48343429260184,2014-08-01
"165","12",2014,9,5.29766118672543,2014-09-01
"166","12",2014,10,6.3020238832881,2014-10-01
"167","12",2014,11,9.53880910541475,2014-11-01
"168","12",2014,12,8.37582417323493,2014-12-01
"169","12",2015,1,9.6635696813506,2015-01-01
"170","12",2015,2,8.7510712655625,2015-02-01
"171","12",2015,3,7.541318319594,2015-03-01
"172","12",2015,4,5.58925805075542,2015-04-01
"173","12",2015,5,5.99341420157125,2015-05-01
"174","12",2015,6,6.02865143101111,2015-06-01
"175","12",2015,7,10.2566621717252,2015-07-01
"176","12",2015,8,33.1694289368221,2015-08-01
"177","12",2015,9,6.71008998113872,2015-09-01
"178","12",2015,10,7.94725823241761,2015-10-01
"179","12",2015,11,10.1526853644212,2015-11-01
"180","12",2015,12,9.55090736402043,2015-12-01
"181","12",2016,1,9.31957741597934,2016-01-01
"182","12",2016,2,9.11596390847883,2016-02-01
"183","12",2016,3,7.44881368454472,2016-03-01
"184","12",2016,4,6.66854263651581,2016-04-01
"185","12",2016,5,5.57453087359412,2016-05-01
"186","12",2016,6,5.26216411870806,2016-06-01
"187","12",2016,7,4.89003704834015,2016-07-01
"188","12",2016,8,6.01175061060801,2016-08-01
"189","12",2016,9,5.34977642641042,2016-09-01
"190","12",2016,10,7.6427684496198,2016-10-01
"191","12",2016,11,9.2177599284129,2016-11-01
"192","12",2016,12,9.06716362521669,2016-12-01
"193","12",2017,1,9.34036589723968,2017-01-01
"194","12",2017,2,8.76756233519885,2017-02-01
"195","12",2017,3,7.69330938341248,2017-03-01
"196","12",2017,4,6.28549081474864,2017-04-01
"197","12",2017,5,6.17582912802346,2017-05-01
"198","12",2017,6,5.36825205252859,2017-06-01
"199","12",2017,7,9.33516470663571,2017-07-01
"200","12",2017,8,26.7950193741948,2017-08-01
"201","12",2017,9,20.7155444106705,2017-09-01
"202","12",2017,10,9.56665038281838,2017-10-01
"203","12",2017,11,10.372201685887,2017-11-01
"204","12",2017,12,10.6853045495044,2017-12-01
"205","12",2018,1,8.59726452684015,2018-01-01
"206","12",2018,2,8.69365547957323,2018-02-01
"207","12",2018,3,7.90309861561041,2018-03-01
"208","12",2018,4,7.73146650307892,2018-04-01
"209","12",2018,5,7.24015228288149,2018-05-01
"210","12",2018,6,5.98887218334513,2018-06-01
"211","12",2018,7,8.75433003788074,2018-07-01
"212","12",2018,8,78.0201991969808,2018-08-01
"213","12",2018,9,22.8316448001218,2018-09-01
"214","12",2018,10,10.8610021851083,2018-10-01
"215","12",2018,11,10.2712096678718,2018-11-01
"216","12",2018,12,9.32046289395596,2018-12-01
"217","12",2019,1,9.11661508822115,2019-01-01
"218","12",2019,2,8.90333519879785,2019-02-01
"219","12",2019,3,8.29335726417061,2019-03-01
"220","12",2019,4,6.0290932662564,2019-04-01
"221","12",2019,5,6.80367983351231,2019-05-01
"222","12",2019,6,5.58135212358263,2019-06-01
"223","12",2019,7,7.51252518307072,2019-07-01
"224","12",2019,8,6.10723639456941,2019-08-01
"225","12",2019,9,5.4607406936136,2019-09-01
"226","12",2019,10,8.13231687715237,2019-10-01
"227","12",2019,11,11.1347399081473,2019-11-01
"228","12",2019,12,9.65929025292063,2019-12-01
"229","12",2020,1,8.82785013390895,2020-01-01
"230","12",2020,2,8.7832333716159,2020-02-01
