"","HLTH_SERVICE_DLVR_AREA_NAME","month","year","date","background_pm25","wildfire_pm25","average_mo_raqdpsfw","average_mo_raqdps","factor","wildfire_pm25_scaled","total_pm25"
"18421","Kootenay Boundary",1,2036,2036-01-01,0.97,0.065998598587625,0.612939790427641,0.546941191840016,1,0.065998598587625,1.03599859858762
"18422","Kootenay Boundary",1,2036,2036-01-01,0.97,0,0.8507878894081,0.861031419670672,1,0,0.97
"18423","Kootenay Boundary",1,2036,2036-01-01,0.97,0,0.426993146417446,0.456846479750779,1,0,0.97
"18424","Kootenay Boundary",2,2036,2036-02-01,0.7,0.081385806362507,0.483599914061661,0.402214107699154,1,0.081385806362507,0.781385806362507
"18425","Kootenay Boundary",2,2036,2036-02-01,0.7,0,0.543809747764044,0.628481547489676,1,0,0.7
"18426","Kootenay Boundary",2,2036,2036-02-01,0.7,0,0.466160064315144,0.684675789942145,1,0,0.7
"18427","Kootenay Boundary",3,2036,2036-03-01,1.38,0.149271556340354,0.664428304405875,0.515156748065521,1,0.149271556340354,1.52927155634035
"18428","Kootenay Boundary",3,2036,2036-03-01,1.38,0,0.440750333778371,0.713996965129133,1,0,1.38
"18429","Kootenay Boundary",3,2036,2036-03-01,1.38,0.060364470146141,0.754374700273766,0.694010230127625,1,0.060364470146141,1.44036447014614
"18430","Kootenay Boundary",3,2036,2036-03-01,1.38,0,0.917618776550552,0.932152829698858,1,0,1.38
"18431","Kootenay Boundary",3,2036,2036-03-01,1.38,0.083249035272837,0.527636292834891,0.444387257562054,1,0.083249035272837,1.46324903527284
"18432","Kootenay Boundary",4,2036,2036-04-01,0.86,0.0590367281236189,0.587765511473659,0.52872878335004,1,0.0590367281236189,0.919036728123619
"18433","Kootenay Boundary",4,2036,2036-04-01,0.86,0.183104044448678,0.831711526479751,0.648607482031073,1,0.183104044448678,1.04310404444868
"18434","Kootenay Boundary",4,2036,2036-04-01,0.86,0.056974854620976,0.755120171339564,0.698145316718588,1,0.056974854620976,0.916974854620976
"18435","Kootenay Boundary",4,2036,2036-04-01,0.86,0,0.620739061400864,0.710587268951194,1,0,0.86
"18436","Kootenay Boundary",4,2036,2036-04-01,0.86,0.035595561971819,0.52839337436365,0.492797812391831,1,0.035595561971819,0.895595561971819
"18437","Kootenay Boundary",4,2036,2036-04-01,0.86,0.1046986362063,0.70567738317757,0.60097874697127,1,0.1046986362063,0.9646986362063
"18438","Kootenay Boundary",5,2036,2036-05-01,1.27,0,1.55477839069979,1.57815373329314,1,0,1.27
"18439","Kootenay Boundary",5,2036,2036-05-01,1.27,0.623341886324073,1.458142258146,0.834800371821927,1,0.623341886324073,1.89334188632407
"18440","Kootenay Boundary",5,2036,2036-05-01,1.27,0,0.641110514018692,0.663504270927545,1,0,1.27
"18441","Kootenay Boundary",5,2036,2036-05-01,1.27,0.079933518948732,0.75228946307495,0.672355944126218,1,0.079933518948732,1.34993351894873
"18442","Kootenay Boundary",5,2036,2036-05-01,1.27,0.065642745831042,0.788297599413597,0.722654853582555,1,0.065642745831042,1.33564274583104
"18443","Kootenay Boundary",5,2036,2036-05-01,1.27,1.52568346038446,2.70993588584062,1.18425242545616,1,1.52568346038446,2.79568346038446
"18444","Kootenay Boundary",6,2036,2036-06-01,0.97,0.131058635217327,0.974420151312862,0.843361516095535,1,0.131058635217327,1.10105863521733
"18445","Kootenay Boundary",6,2036,2036-06-01,0.97,0,0.664723814468674,0.713173291796469,1,0,0.97
"18446","Kootenay Boundary",6,2036,2036-06-01,0.97,0.0138076202085869,0.820859894351889,0.807052274143302,1,0.0138076202085869,0.983807620208587
"18447","Kootenay Boundary",6,2036,2036-06-01,0.97,0.0180372671942129,0.789150507069602,0.771113239875389,1,0.0180372671942129,0.988037267194213
"18448","Kootenay Boundary",6,2036,2036-06-01,0.97,0,0.548639460020768,0.619213577362409,1,0,0.97
"18449","Kootenay Boundary",6,2036,2036-06-01,0.97,1.64471802849211,2.55892285138354,0.914204822891427,1,1.64471802849211,2.61471802849211
"18450","Kootenay Boundary",7,2036,2036-07-01,0.82,1.6661236204592,2.46699813084112,0.800874510381918,1,1.6661236204592,2.4861236204592
"18451","Kootenay Boundary",7,2036,2036-07-01,0.82,0.414305668191847,1.23385760960413,0.819551941412283,1,0.414305668191847,1.23430566819185
"18452","Kootenay Boundary",7,2036,2036-07-01,0.82,0.505146412771418,1.14828796638412,0.643141553612702,1,0.505146412771418,1.32514641277142
"18453","Kootenay Boundary",7,2036,2036-07-01,0.82,37.7537276648168,39.5912403369101,1.83751267209326,1,37.7537276648168,38.5737276648168
"18454","Kootenay Boundary",7,2036,2036-07-01,0.82,0.365607551462953,1.30566316199377,0.940055610530817,1,0.365607551462953,1.18560755146295
"18455","Kootenay Boundary",7,2036,2036-07-01,0.82,4.49510972926381,5.3474513468939,0.852341617630091,1,4.49510972926381,5.31510972926381
"18456","Kootenay Boundary",8,2036,2036-08-01,1.38,51.3612000767397,53.3149184367035,1.95371835996382,1,51.3612000767397,52.7412000767397
"18457","Kootenay Boundary",8,2036,2036-08-01,1.38,0.92055507594353,2.10165930790604,1.18110423196251,1,0.92055507594353,2.30055507594353
"18458","Kootenay Boundary",8,2036,2036-08-01,1.38,1.52282167453857,2.75197377985462,1.22915210531605,1,1.52282167453857,2.90282167453857
"18459","Kootenay Boundary",8,2036,2036-08-01,1.38,10.6793113420467,12.0097987905443,1.33048744849764,1,10.6793113420467,12.0593113420467
"18460","Kootenay Boundary",8,2036,2036-08-01,1.38,5.62182831258098,7.73740285292671,2.11557454034573,1,5.62182831258098,7.00182831258098
"18461","Kootenay Boundary",8,2036,2036-08-01,1.38,12.9501919349,14.1651106421465,1.2149187072465,1,12.9501919349,14.3301919349
